canopy duty lolp
0.114103 0.391026 0
0.114103 0.415385 0
0.114103 0.439744 0
0.114103 0.464103 0
0.114103 0.488462 0
0.114103 0.512821 0
0.114103 0.537179 0
0.114103 0.561538 0
0.114103 0.585897 0
0.114103 0.610256 0
0.114103 0.634615 0
0.114103 0.658974 0
0.114103 0.683333 0
0.114103 0.707692 0
0.114103 0.732051 0
0.114103 0.75641 0
0.114103 0.780769 0
0.114103 0.805128 0
0.114103 0.829487 0
0.114103 0.853846 0
0.114103 0.878205 0
0.114103 0.902564 0
0.114103 0.926923 0
0.114103 0.951282 0
0.114103 0.975641 0
0.114103 1 0

0.121538 0.05 0
0.121538 0.074359 0
0.121538 0.0987179 0
0.121538 0.123077 0
0.121538 0.147436 0
0.121538 0.171795 0
0.121538 0.196154 0
0.121538 0.220513 0
0.121538 0.244872 0
0.121538 0.269231 0
0.121538 0.29359 0
0.121538 0.317949 0
0.121538 0.342308 0
0.121538 0.366667 0
0.121538 0.391026 0
0.121538 0.415385 0
0.121538 0.439744 0
0.121538 0.464103 0
0.121538 0.488462 0
0.121538 0.512821 0
0.121538 0.537179 0
0.121538 0.561538 0
0.121538 0.585897 0
0.121538 0.610256 0
0.121538 0.634615 0
0.121538 0.658974 0
0.121538 0.683333 0
0.121538 0.707692 0
0.121538 0.732051 0
0.121538 0.75641 0
0.121538 0.780769 0
0.121538 0.805128 0
0.121538 0.829487 0
0.121538 0.853846 0
0.121538 0.878205 0
0.121538 0.902564 0
0.121538 0.926923 0
0.121538 0.951282 0
0.121538 0.975641 0
0.121538 1 0

0.128974 0.05 0
0.128974 0.074359 0
0.128974 0.0987179 0
0.128974 0.123077 0
0.128974 0.147436 0
0.128974 0.171795 0
0.128974 0.196154 0
0.128974 0.220513 0
0.128974 0.244872 0
0.128974 0.269231 0
0.128974 0.29359 0
0.128974 0.317949 0
0.128974 0.342308 0
0.128974 0.366667 0
0.128974 0.391026 0
0.128974 0.415385 0
0.128974 0.439744 0
0.128974 0.464103 0
0.128974 0.488462 0
0.128974 0.512821 0
0.128974 0.537179 0
0.128974 0.561538 0
0.128974 0.585897 0
0.128974 0.610256 0
0.128974 0.634615 0
0.128974 0.658974 0
0.128974 0.683333 0
0.128974 0.707692 0
0.128974 0.732051 0
0.128974 0.75641 0
0.128974 0.780769 0
0.128974 0.805128 0
0.128974 0.829487 0
0.128974 0.853846 0
0.128974 0.878205 0
0.128974 0.902564 0
0.128974 0.926923 0
0.128974 0.951282 0
0.128974 0.975641 0
0.128974 1 0

0.13641 0.05 0
0.13641 0.074359 0
0.13641 0.0987179 0
0.13641 0.123077 0
0.13641 0.147436 0
0.13641 0.171795 0
0.13641 0.196154 0
0.13641 0.220513 0
0.13641 0.244872 0
0.13641 0.269231 0
0.13641 0.29359 0
0.13641 0.317949 0
0.13641 0.342308 0
0.13641 0.366667 0
0.13641 0.391026 0
0.13641 0.415385 0
0.13641 0.439744 0
0.13641 0.464103 0
0.13641 0.488462 0
0.13641 0.512821 0
0.13641 0.537179 0
0.13641 0.561538 0
0.13641 0.585897 0
0.13641 0.610256 0
0.13641 0.634615 0
0.13641 0.658974 0
0.13641 0.683333 0
0.13641 0.707692 0
0.13641 0.732051 0
0.13641 0.75641 0
0.13641 0.780769 0
0.13641 0.805128 0
0.13641 0.829487 0
0.13641 0.853846 0
0.13641 0.878205 0
0.13641 0.902564 0
0.13641 0.926923 0
0.13641 0.951282 0
0.13641 0.975641 0
0.13641 1 0

0.143846 0.05 0
0.143846 0.074359 0
0.143846 0.0987179 0
0.143846 0.123077 0
0.143846 0.147436 0
0.143846 0.171795 0
0.143846 0.196154 0
0.143846 0.220513 0
0.143846 0.244872 0
0.143846 0.269231 0
0.143846 0.29359 0
0.143846 0.317949 0
0.143846 0.342308 0
0.143846 0.366667 0
0.143846 0.391026 0
0.143846 0.415385 0
0.143846 0.439744 0
0.143846 0.464103 0
0.143846 0.488462 0
0.143846 0.512821 0
0.143846 0.537179 0
0.143846 0.561538 0
